text,buy_inten,inten_level,cat
"Hello there, hope you're doing well!",0,0.0,General
I'm looking for some stylish yet affordable home decor items on Amazon. Any ideas?,1,4.0,Home & Kitchen
Can you recommend some functional storage solutions for a small apartment?,1,4.0,Home & Kitchen
I need a new set of knives for my kitchen. What do you suggest?,1,4.0,Home & Kitchen
What's the best selling kitchen gadget right now?,1,3.0,Home & Kitchen
Could you help me find a gift for someone who loves cooking?,1,3.0,Home & Kitchen
"Just browsing today, thanks!",0,0.0,General
"I'm considering upgrading my kitchenware, any recommendations?",1,4.0,Home & Kitchen
Are there any new trends in home decor?,1,2.0,Home & Kitchen
I heard about some eco-friendly storage options available on Amazon. Can you confirm?,1,3.0,Home & Kitchen
Can you show me some options for minimalist kitchen designs?,1,4.0,Home & Kitchen
I've been thinking about getting some smart kitchen appliances. What do you recommend?,1,4.0,Home & Kitchen
I need a birthday present that involves home improvement tools. Any ideas?,1,3.0,Home & Kitchen
Can you find me the best deals on decorative cushions?,1,4.0,Home & Kitchen
Do you have any budget-friendly recommendations for kitchen renovations?,1,4.0,Home & Kitchen
What are the top-rated kitchen gadgets under $50?,1,4.0,Home & Kitchen
"Hey, can you help me find a modern art piece for my living room?",1,4.0,Home & Kitchen
I'm curious about the latest kitchen tech. Got any info?,1,2.0,Home & Kitchen
"Hey, just checking in. How's it going?",0,0.0,General
Do you think investing in a high-quality blender is worth it?,1,4.0,Home & Kitchen
"Hello there, I'm looking to spruce up my living room with some modern decor. Any ideas?",1,2.0,Home & Kitchen
"Good morning, can you help me find some durable kitchen storage containers on Amazon?",1,4.0,Home & Kitchen
"Hey, I heard about these new smart kitchen gadgets. Can you show me some available on Amazon?",1,3.0,Home & Kitchen
Could you recommend the best coffee makers that are both affordable and efficient?,1,4.0,Home & Kitchen
"I need a new set of cookware, preferably non-stick. What are the best options?",1,4.0,Home & Kitchen
What's the latest in eco-friendly home decor?,1,2.0,Home & Kitchen
Can you find me a good deal on some high-quality bed sheets?,1,4.0,Home & Kitchen
I'm in the market for a new blender that can handle daily use. Any suggestions?,1,4.0,Home & Kitchen
"Hi, do you have any minimalist wall art that would go great in a bachelor's apartment?",1,3.0,Home & Kitchen
"I'm thinking of buying a new rug, something soft and stylish. What do you have?",1,4.0,Home & Kitchen
Can you help me find a compact air fryer? I've got a small kitchen.,1,4.0,Home & Kitchen
I'd love to see some options for smart lighting solutions for my kitchen.,1,4.0,Home & Kitchen
Is there a sale on Amazon for kitchen appliances? I need to replace a few items.,1,2.0,Home & Kitchen
I'm looking for a gift that's both practical and suitable for a home office. Any ideas?,1,3.0,Home & Kitchen
Do you have any budget-friendly storage solutions for a small laundry room?,1,4.0,Home & Kitchen
"Hello, just browsing for now.",0,0.0,General
"Hi, can you show me where to find the customer reviews for kitchen gadgets?",1,2.0,Home & Kitchen
"Hey, what's the return policy on kitchen appliances bought through Amazon?",1,1.0,Home & Kitchen
Can you compare two different brands of coffee makers for me?,1,3.0,Home & Kitchen
What are the trending colors for kitchen decor this season?,1,2.0,Home & Kitchen
"Hello, I need some advice on choosing kitchen gadgets.",1,3.0,Home & Kitchen
Can you find me some trendy home decor?,1,4.0,Home & Kitchen
I'm looking for storage solutions that can maximize space.,1,4.0,Home & Kitchen
What's the best-selling kitchen appliance right now?,1,2.0,Home & Kitchen
Could you recommend a good toaster?,1,4.0,Home & Kitchen
"I need a new set of cookware, what do you suggest?",1,4.0,Home & Kitchen
Is there a sale on home goods on Amazon?,1,2.0,Home & Kitchen
"Looking for a gift in home decor, any ideas?",1,2.0,Home & Kitchen
How can I find eco-friendly kitchen products on Amazon?,1,3.0,Home & Kitchen
"I heard about smart kitchen gadgets, can you help me find some?",1,4.0,Home & Kitchen
Do you have any budget-friendly kitchen gadgets to recommend?,1,4.0,Home & Kitchen
Can you find me a modern coffee table?,1,4.0,Home & Kitchen
"I'm redoing my kitchen, need some stylish yet functional items.",1,4.0,Home & Kitchen
What are the top-rated kitchen knives on Amazon?,1,4.0,Home & Kitchen
"I'm looking for the latest in home automation, any suggestions?",1,3.0,Home & Kitchen
"Need a new rug, what are the current trends?",1,2.0,Home & Kitchen
Any good deals on Amazon for dinnerware sets?,1,4.0,Home & Kitchen
Can you help me find a high-quality blender?,1,4.0,Home & Kitchen
"Looking for a spice rack, what do you recommend?",1,4.0,Home & Kitchen
"I want to buy a new microwave, which models are best?",1,4.0,Home & Kitchen
"Hello, I'm interested in updating my kitchen gadgets. Any ideas?",1,4.0,Home & Kitchen
Can you find me a stylish vase for my living room?,1,3.0,Home & Kitchen
"I need a new set of cookware, preferably non-stick. Any recommendations?",1,4.0,Home & Kitchen
What's the best price for a robotic vacuum cleaner right now on Amazon?,1,4.0,Home & Kitchen
"Looking for affordable storage solutions for my garage, any suggestions?",1,4.0,Home & Kitchen
Could you help me find some elegant curtains for my bedroom?,1,3.0,Home & Kitchen
I want to purchase a new blender that can handle ice and frozen fruit. What do you recommend?,1,4.0,Home & Kitchen
"Hey, I'm thinking about buying a new toaster, one with wide slots. Got any leads?",1,4.0,Home & Kitchen
Do you have any eco-friendly dinnerware sets on Amazon?,1,4.0,Home & Kitchen
"I'm redecorating my home office, need some modern decor ideas that I can buy.",1,4.0,Home & Kitchen
"Good morning, can you assist me in finding a high-quality area rug?",1,3.0,Home & Kitchen
What are the top-rated air purifiers available on Amazon right now?,1,4.0,Home & Kitchen
Can you show me some popular wall art that's trending?,1,3.0,Home & Kitchen
"I need a new lamp for my nightstand, something with adjustable brightness.",1,4.0,Home & Kitchen
"Looking for a gift idea in the home & kitchen category, something unique under $50.",1,3.0,Home & Kitchen
"I'm trying to find the best deals on kitchen knives, can you help?",1,4.0,Home & Kitchen
"I want to explore some new coffee machines, preferably ones with a grinder. Any suggestions?",1,4.0,Home & Kitchen
Can you recommend a reliable dishwasher that's easy to install?,1,4.0,Home & Kitchen
Do you have any budget-friendly slow cookers with good reviews?,1,4.0,Home & Kitchen
"I'm looking for a new dining table set, preferably something modern and under $500.",1,4.0,Home & Kitchen
"Hello, I'm looking to upgrade some kitchen appliances. Any thoughts?",1,2.0,Home & Kitchen
What's the best selling blender on Amazon right now?,1,4.0,Home & Kitchen
Could you find a stylish yet affordable set of curtains?,1,3.0,Home & Kitchen
"I need a new baking sheet, any recommendations?",1,4.0,Home & Kitchen
Looking for a unique table lamp for my study room.,1,4.0,Home & Kitchen
Can you help me find a compact air fryer?,1,4.0,Home & Kitchen
I'm curious about the latest in smart home devices.,0,2.0,Home & Kitchen
Is there a discount on pillow sets?,1,2.0,Home & Kitchen
Looking for a good quality chef's knife.,1,4.0,Home & Kitchen
Show me the top reviewed storage organizers.,1,3.0,Home & Kitchen
What are some eco-friendly cleaning products available?,1,4.0,Home & Kitchen
"I need a gift for a housewarming party, any ideas?",1,3.0,Home & Kitchen
Can you show me some modern wall art?,1,3.0,Home & Kitchen
I'm looking for a high-quality juicer.,1,4.0,Home & Kitchen
What are the latest trends in home decor?,0,1.0,Home & Kitchen
Do you have any budget-friendly cooking sets?,1,4.0,Home & Kitchen
Help me find a spice rack with a modern design.,1,4.0,Home & Kitchen
Any deals on coffee machines?,1,4.0,Home & Kitchen
What's the best carpet cleaner available?,1,4.0,Home & Kitchen
